,Year,Score,Economy,Family,Health,Freedom,Trust,Generosity,Dystopia,Ind 1,Ind 2,Ind 3,Ind 4,Ind 5,Ind 6,Ind 7,Ind 8,Ind 9,Ind 10,Ind 11,Ind 12,Ind 13,Ind 14,Ind 15,Ind 16,Ind 17,Ind 18,Ind 19,Ind 20,Ind 21,Ind 22,Ind 23,Ind 24,Ind 25,Ind 26,Ind 27,Ind 28,Ind 29,Ind 30,Ind 31,Ind 32,Ind 33
Year,1.0,0.00011384063134060829,0.14393684887241948,0.2717839457155687,-0.14337900885007177,-0.046744818833651704,-0.060602911774742065,0.03154797007324475,-0.1822621359629149,0.006226193691139226,0.0073510747899127584,-0.02981171860422008,-0.02897301552830242,-0.0004757328411182421,0.008782532006931253,-0.0021259284865450746,-0.006218018577160118,-0.0047046686970170365,-0.004815769166574216,-0.0016832335327895188,0.0015345095827785356,-0.0056687044741886945,-0.0009862187246830183,0.00510163216660177,-0.03544971027108475,0.001378287913680207,0.008378170640539088,0.09638902104345942,0.03601604833466022,-0.004697916952429859,0.0717223570081783,-0.029118159555470764,-0.031136377626632076,0.0027911246650355556,-0.003727428276806759,0.016015129707018242,0.00544975420483135,0.0003354192073489591,-0.002334126127723567,0.004603305074699833,-0.023298368121029246,0.005715714792545268
Score,0.00011384063134060829,1.0,0.8076704446506264,0.6289236836324715,0.7753943583665301,0.5698094865574423,0.4590122029048941,0.20749241673163582,0.5098757636688925,0.6322547540089751,0.31633168790642546,-0.09915181733565087,-0.03866446081870582,0.31226078404719343,0.3154353314377618,-0.5908479276667826,-0.6242514375803616,-0.06877167049960223,-0.08061427511057115,-0.002568213791216198,0.05591279623812193,-0.15801825738724065,-0.2955534888151301,0.12345247422356585,0.27878067164618503,-0.4685687422586282,0.204410905347283,-0.11110475890041566,0.3952750596744838,0.13305708541049044,-0.10855629952176002,-0.7028935090403169,-0.693861662595058,-0.04442436282991978,-0.26266823571577436,-0.5436323775956209,-0.42133538155270617,0.19324872330056517,0.1699801482150636,0.23930979717341613,-0.15038083845085767,-0.07714443160804509
Economy,0.14393684887241948,0.8076704446506264,1.0,0.606024996682987,0.7770859948619665,0.3779394664441362,0.37808160433134036,0.005913773222230623,0.09696083651004216,0.7249024919529767,0.4202508592915783,-0.1272888283898356,-0.04657125010168286,0.2648656023406633,0.3221658710635944,-0.7054390633972243,-0.7237009129206947,-0.019055391966730176,0.00031214305629126947,0.09394451976264412,0.12219692112347576,-0.0708731047250889,-0.3651203697301155,0.232440868549903,0.3852300789576475,-0.5696648320291757,0.20894099124278914,-0.15817284938870502,0.5614389593691912,0.16525265558729343,-0.08815076173625098,-0.7918540388944524,-0.7827713388817326,-0.03287559635386034,-0.4148924010671401,-0.653677020261877,-0.5747694189738034,0.11867327099214924,0.20332724032388985,0.37025786403737393,0.026635589906017488,-0.16942446943547548
Family,0.2717839457155687,0.6289236836324715,0.606024996682987,1.0,0.49650278797976266,0.455251577339714,0.21040454984295145,0.1317386403021867,-0.10745086854033407,0.39847581350061,0.16548244159884307,-0.04137173950195024,0.005952954056729603,0.2796018341721251,0.2380254971401645,-0.3686995673083653,-0.40671764136908267,-0.08438504261036034,-0.09024863446549986,-0.034360655137691855,0.0271917097571558,0.004538416195655631,-0.2713554771634875,0.09436253632520823,0.17562408860100173,-0.3267403754584309,0.11945887840195035,-0.034256421413503324,0.33362537171779794,0.08428424767047601,-0.01802856995123543,-0.5494354921003025,-0.5120513479705323,-0.11667551411693447,-0.30795927122696165,-0.4207322400468038,-0.27915258660035414,0.10498794105454505,0.12787332914088428,0.19147808216766443,-0.0685856449877449,-0.10481613694839642
Health,-0.14337900885007177,0.7753943583665301,0.7770859948619665,0.49650278797976266,1.0,0.4164374345796123,0.3149015933161732,0.06595684060467774,0.1517383718671483,0.7218943473411307,0.3666115731727607,0.019838546889390365,0.12191409170604374,0.2457558892500163,0.32300962854899995,-0.7143768695101028,-0.7834440422614116,-0.058158167765936644,-0.042416968071294706,0.08751979731668813,0.1412474881043573,-0.09341139241829825,-0.30073703691549286,0.18584292982917375,0.3146461241860162,-0.5098174746919488,0.21162091083611934,-0.025429327484435396,0.3732762707274779,0.19680702095981445,-0.0429173267213069,-0.8769610623131096,-0.8986129554386597,0.002027787495814816,-0.36540658511206875,-0.6283324410028505,-0.50956253270243,0.08691215136186824,0.19257008223220975,0.33832338539168894,-0.0003239571379943862,-0.1603559273257827
Freedom,-0.046744818833651704,0.5698094865574423,0.3779394664441362,0.455251577339714,0.4164374345796123,1.0,0.4960101636285365,0.37981430628658164,0.009858108035668164,0.2613087098275433,0.24163451481900206,0.10140823881614122,0.08547107173868619,0.1394486737767081,0.37291971420197945,-0.3173967224715898,-0.275266378612836,-0.04322460278972976,-0.07326032616595664,-0.021853238485179692,0.037518471057366075,-0.27798656878891814,-0.12829322953111372,0.08456255868519295,-0.03360818304413183,-0.17435464822143684,0.1305382721496014,0.16139569316149477,0.3593470675626927,0.006565791598146219,0.03441821393587948,-0.37028272663570866,-0.3593515564008246,0.03334142825624608,-0.06993071961038583,-0.1926466983331372,-0.10300660808157451,0.1125452407107277,0.06858693552509801,0.18407612047456315,-0.3446816248383468,-0.03727326631917766
Trust,-0.060602911774742065,0.4590122029048941,0.37808160433134036,0.21040454984295145,0.3149015933161732,0.4960101636285365,1.0,0.25850626864737175,0.0215239159866977,0.129182579277733,0.16014932145965266,-0.09483428572021617,-0.1265891463052805,0.12232777997906821,0.28024645186252417,-0.19630789552961317,-0.16841927961891362,-0.031214697698976935,-0.06340048712800776,-0.047829420643595084,-0.004889826457121133,-0.2650101217870944,-0.22871322284036943,0.08087550858010177,0.005690342331839798,-0.06347958936634993,0.02985545872142563,0.019922831207381465,0.36924904707312056,-0.06876084460132904,-0.008646318234328607,-0.23918132608717765,-0.21975734161182342,-0.10944224884623535,-0.10111603748504382,-0.1110534996448796,-0.10850767136081436,0.0469405194299275,0.08929411717654176,0.2413766848251261,-0.19828549828658856,-0.04476355968169856
Generosity,0.03154797007324475,0.20749241673163582,0.005913773222230623,0.1317386403021867,0.06595684060467774,0.37981430628658164,0.25850626864737175,1.0,-0.07271143440772726,-0.06166055063527325,0.0051707998481257764,0.10812284995756552,0.07943403351788982,0.0016353492104820458,0.17064248899565473,-0.047027041397060515,-0.02728476763850936,-0.17648708038333544,-0.18857734753976915,-0.24639741528175216,-0.1840898935146243,-0.17362330887909064,0.10439736332712378,-0.09555560024833419,-0.11705176886180337,0.04513544749746368,0.03636058632909113,0.19200442867197104,0.09837971571109705,-0.13566005006104986,0.08574153015727158,0.031464942597916115,0.002230436409878826,-0.04722803806028125,0.12365719266335724,0.07210744087783441,0.1699270822289883,0.05008611085561039,0.0033665557006214977,0.07863580667620952,-0.29021642654683943,0.10646840137123188
Dystopia,-0.1822621359629149,0.5098757636688925,0.09696083651004216,-0.10745086854033407,0.1517383718671483,0.009858108035668164,0.0215239159866977,-0.07271143440772726,1.0,0.1746423577725399,0.002692590191165496,-0.13177233011867498,-0.11644770264391642,0.13148455639907386,-0.05055463670447675,-0.06698439634406077,-0.09513738647605134,0.003358815076148786,-0.02101296275969564,-0.016316843583988595,-0.012542368513655816,-0.067629122719485,-0.010868269175260865,-0.06173577465896477,0.10329081952955349,-0.11007562871104525,0.06585315499107673,-0.17975348064115776,-0.1330781609538418,0.07139253922459748,-0.16162796505637733,-0.06274071422388819,-0.0627179107706355,0.021775258555972437,0.09475564607926719,-0.09385593051471239,-0.07504146591086366,0.16729028906585308,0.013859694717030833,-0.14284525511327745,-0.0885327608069788,0.08392690282761875
Ind 1,0.006226193691139226,0.6322547540089751,0.7249024919529767,0.39847581350061,0.7218943473411307,0.2613087098275433,0.129182579277733,-0.06166055063527325,0.1746423577725399,1.0,0.38476586695470166,-0.03272637911867036,0.08824064449106662,0.27745942158631703,0.32285339731755575,-0.7458396382778236,-0.8430259542660216,-0.015204782501930287,0.004693098156165371,0.10155733511457417,0.12574943128671867,-0.12042567619749234,-0.31491416701374014,0.25141901929321575,0.3278278940793877,-0.7691920221062234,0.147138424376386,-0.03968999207158688,0.3167075986025355,0.31757671574258406,-0.05622101107039166,-0.6594392255697054,-0.7563433199506355,0.06217823529659976,-0.33744368504239575,-0.6580176591367504,-0.7404749720814456,0.07032723562957122,0.11192266614228322,0.16868886378193632,0.13352236973517284,-0.11677133668921709
Ind 2,0.0073510747899127584,0.31633168790642546,0.4202508592915783,0.16548244159884307,0.3666115731727607,0.24163451481900206,0.16014932145965266,0.0051707998481257764,0.002692590191165496,0.38476586695470166,1.0,-0.04580115938112031,-0.001569505515061517,0.12110446688215605,0.1871297824995792,-0.3656809144126706,-0.418398070014153,0.12379176959085353,0.1490283792986749,0.18396208389052987,0.13388608658533427,0.003538844122787641,-0.139217957724558,0.16303199080590441,0.15313364366876442,-0.4128098668402019,0.08621033202324618,-0.04705837978983729,0.43941391713521544,0.16108488687972733,0.04624539666728014,-0.4196743920303943,-0.4424709613098594,0.018780745173661004,-0.17684673299792253,-0.2638581758548909,-0.2817425568833393,0.046590531862236814,0.044921634983760166,0.12407118734249993,0.12419712654369305,0.0021233369211877836
Ind 3,-0.02981171860422008,-0.09915181733565087,-0.1272888283898356,-0.04137173950195024,0.019838546889390365,0.10140823881614122,-0.09483428572021617,0.10812284995756552,-0.13177233011867498,-0.03272637911867036,-0.04580115938112031,1.0,0.9706961850244546,0.016050483027555427,0.07345771608354154,0.1123754524261256,0.09059019638872928,-0.09461462225880908,-0.07878345407906583,0.009620639704617009,0.06576039131604117,-0.08521989510807204,0.1134584875065113,-0.050810545101292265,-0.1873301207714679,-0.004252388317687755,0.00818859192421243,0.3662981662738163,0.03468887073347434,0.03814439737198159,0.2312510956263216,0.06977121835340687,0.00014738647123186305,0.10829347150523376,0.11101854849779558,0.04629486478950307,0.17270367826004474,-0.08167600875081994,0.09706142411303123,0.021782582803599522,-0.0794038735741513,0.05609231172655373
Ind 4,-0.02897301552830242,-0.03866446081870582,-0.04657125010168286,0.005952954056729603,0.12191409170604374,0.08547107173868619,-0.1265891463052805,0.07943403351788982,-0.11644770264391642,0.08824064449106662,-0.001569505515061517,0.9706961850244546,1.0,0.06059792886652598,0.07511084375561118,0.01591459030840964,-0.06664501490666072,-0.07537385505535636,-0.058315428087556895,0.048690609156632994,0.10266066667858192,0.014610353421583181,0.05897209165865566,-0.02808222736650509,-0.11569376534563197,-0.10144255893695896,0.038171231473862144,0.33982235666652866,0.04948379238476069,0.10586892246907068,0.22341046026518663,-0.03487513298890666,-0.11490905750734266,0.12017199771459407,0.0631802749518586,-0.05191911393570702,0.09620651769790094,-0.07202651993943784,0.13271166914186233,0.03248973742593034,-0.031693954709121626,0.022252068931196776
Ind 5,-0.0004757328411182421,0.31226078404719343,0.2648656023406633,0.2796018341721251,0.2457558892500163,0.1394486737767081,0.12232777997906821,0.0016353492104820458,0.13148455639907386,0.27745942158631703,0.12110446688215605,0.016050483027555427,0.06059792886652598,1.0,0.00040255918949392053,-0.17798795099964143,-0.28716541343120455,0.023872489897209314,0.027339531685211436,-0.014504982703563941,-0.042707854816010304,0.08393594352808084,-0.11875667205795915,0.053263262763586415,0.27835034620554144,-0.20746884518722655,-0.03512845514706235,0.03578592052648786,0.06984589853784855,-0.025706743051177077,0.010334579925362278,-0.3155550540317532,-0.30913663784940115,-0.15914486118113902,-0.12154758341814832,-0.21267197699389917,-0.22072678436326879,-0.033864734166330075,0.3063456769114524,0.20296999457080242,0.15508081030332965,0.03889310094405504
Ind 6,0.008782532006931253,0.3154353314377618,0.3221658710635944,0.2380254971401645,0.32300962854899995,0.37291971420197945,0.28024645186252417,0.17064248899565473,-0.05055463670447675,0.32285339731755575,0.1871297824995792,0.07345771608354154,0.07511084375561118,0.00040255918949392053,1.0,-0.33557172969016325,-0.3012362537864927,-0.07203522855355445,-0.07347913430668221,-0.03396916763091968,0.005971722925290427,-0.2054769692433219,-0.14715340288040116,0.0731411654506305,-0.05652647809349784,-0.33809142086490684,0.10408258379151596,0.23607217571733125,0.5857515014939035,-0.03133395366764101,0.13435511415625004,-0.2368865526949427,-0.26849824218254037,0.2250457219931527,-0.15304544137807852,-0.3042431772322675,-0.1866038936133545,0.07171689427288278,0.04408507985072719,0.22409662346918383,-0.2808741971983333,-0.07792208444519978
Ind 7,-0.0021259284865450746,-0.5908479276667826,-0.7054390633972243,-0.3686995673083653,-0.7143768695101028,-0.3173967224715898,-0.19630789552961317,-0.047027041397060515,-0.06698439634406077,-0.7458396382778236,-0.3656809144126706,0.1123754524261256,0.01591459030840964,-0.17798795099964143,-0.33557172969016325,1.0,0.7956240167353251,-0.02656852711366742,-0.03025263240249373,-0.03560016461234464,-0.02755586786074186,0.21000862073741422,0.26911684322866425,-0.30409960192443763,-0.1842584257272604,0.5093610214507485,-0.11418306892883477,0.05615304715448209,-0.37522289937226705,-0.22155008477598723,0.05777871025874941,0.7202434239812511,0.8001178525416639,-0.08098690245482318,0.3463405361325562,0.5934028794496816,0.5786876494838072,-0.07801533243420034,-0.021020628083454822,-0.33242129770869816,-0.02046318477122916,0.05548226649722958
Ind 8,-0.006218018577160118,-0.6242514375803616,-0.7237009129206947,-0.40671764136908267,-0.7834440422614116,-0.275266378612836,-0.16841927961891362,-0.02728476763850936,-0.09513738647605134,-0.8430259542660216,-0.418398070014153,0.09059019638872928,-0.06664501490666072,-0.28716541343120455,-0.3012362537864927,0.7956240167353251,1.0,-0.006748379425299148,-0.018437339395759603,-0.11036471353439178,-0.12951968176454853,-0.08854031213777849,0.392744022152395,-0.26393613367531615,-0.3907104932193673,0.6169939473542005,-0.17685420973068128,0.09024099797018212,-0.306206884062364,-0.24720971903975228,0.05118854128496433,0.7675149619523938,0.8098253607927272,-0.04631584482985577,0.36482032123504304,0.6579279205512618,0.6270090348198556,-0.0507915602969997,-0.23632669240553572,-0.3063351770289379,-0.13818619954079167,0.16337597039598656
Ind 9,-0.0047046686970170365,-0.06877167049960223,-0.019055391966730176,-0.08438504261036034,-0.058158167765936644,-0.04322460278972976,-0.031214697698976935,-0.17648708038333544,0.003358815076148786,-0.015204782501930287,0.12379176959085353,-0.09461462225880908,-0.07537385505535636,0.023872489897209314,-0.07203522855355445,-0.02656852711366742,-0.006748379425299148,1.0,0.9728448007614297,0.5073880887833406,-0.03940707625978662,0.059326185438870846,0.1963106740748483,0.07800365737122714,-0.05173451963813528,-0.050516961770693,0.0029044837278831524,-0.1250273439058966,0.08101468329152056,0.1134470065366447,-0.01931254995261793,0.05551139486388815,0.04848161270597706,0.0003855163949439307,0.10288126778786394,0.156986006348872,-0.01223017600515874,0.20446495141350138,-0.031504071595111684,-0.1316049778054262,0.148481723693788,0.3639097807246477
Ind 10,-0.004815769166574216,-0.08061427511057115,0.00031214305629126947,-0.09024863446549986,-0.042416968071294706,-0.07326032616595664,-0.06340048712800776,-0.18857734753976915,-0.02101296275969564,0.004693098156165371,0.1490283792986749,-0.07878345407906583,-0.058315428087556895,0.027339531685211436,-0.07347913430668221,-0.03025263240249373,-0.018437339395759603,0.9728448007614297,1.0,0.6250130064180786,0.08395682513299557,0.051986436766383384,0.20291701467462042,0.07763759300011036,-0.027319515884307612,-0.041426545482877344,0.010905402502218234,-0.11471172024847938,0.06929388062957482,0.1581577748011629,0.004063270367277488,0.03293110544130502,0.025192393193680825,0.029688026004551973,0.05868671380478559,0.1276839573364938,-0.043762635366888375,0.19769623051988636,-0.027886458017190096,-0.11934712772199237,0.17734554601212746,0.31847646525149964
Ind 11,-0.0016832335327895188,-0.002568213791216198,0.09394451976264412,-0.034360655137691855,0.08751979731668813,-0.021853238485179692,-0.047829420643595084,-0.24639741528175216,-0.016316843583988595,0.10155733511457417,0.18396208389052987,0.009620639704617009,0.048690609156632994,-0.014504982703563941,-0.03396916763091968,-0.03560016461234464,-0.11036471353439178,0.5073880887833406,0.6250130064180786,1.0,0.8284463914024341,0.08449274040265368,-0.06129080232725943,-0.13311195804601164,0.12013505563348262,-0.05891508005169363,0.06502751021723494,-0.0447089608913274,0.06125802865908217,0.2501343660803359,0.05473691120600614,-0.10071207248505785,-0.09514268259051224,0.09548047445148915,-0.06312915992174681,-0.07366041632144378,-0.054530709387870115,0.08133642574362118,0.09428911912386798,-0.07950851758907633,0.1674184127343357,-0.07494493683960696
